,close_CEX_x,open_CEX_x,ETH_USDT,open,high,low,close,volume,rolling_volatility,rolling_avg_price_diff,price_change,jump_intensity,bid_price,ask_price,eth_inventory,bubble_inventory,cashflow,pnl_eth,pnl_usd,price,price_difference,spread_multiplier,discrepancy_spread_component
2024-12-20 20:28:00,1.4584463683329008e-06,1.4577044618432222e-06,3392.32,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,0.0001486875,,,,0.0,,,1.4000000002115645,983919.2467394446,2.115646183956266e-12,1.4,4749.248,1.4228809980370012e-06,-3.556537029589961e-08,0.0101,0.0001
2024-12-20 20:29:00,1.4543093653627658e-06,1.4588742034458343e-06,3389.6,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,0.0,,,0.0,0.0,,,1.4000000002115645,983919.2467394446,2.115646183956266e-12,1.4,4745.44,1.4228809980370012e-06,-3.142836732576455e-08,0.0101,0.0001
2024-12-20 20:30:00,1.454317949081165e-06,1.4539885085625078e-06,3388.61,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,0.0,,,0.0,0.0,,,1.4000000002115645,983919.2467394446,2.115646183956266e-12,1.4,4744.054,1.4228809980370012e-06,-3.1436951044163795e-08,0.0101,0.0001
2024-12-20 20:31:00,1.4553738469437737e-06,1.452873753026206e-06,3391.21,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,0.0,,,0.0,0.0,,,1.4000000002115645,983919.2467394446,2.115646183956266e-12,1.4,4747.6939999999995,1.4228809980370012e-06,-3.249284890677249e-08,0.0101,0.0001
2024-12-20 20:32:00,1.4582009017665755e-06,1.4560785077852372e-06,3387.18,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,0.0,,,0.0,0.0,,,1.4000000002115645,983919.2467394446,2.115646183956266e-12,1.4,4742.052,1.4228809980370012e-06,-3.531990372957425e-08,0.0101,0.0001
2024-12-20 20:33:00,1.4577397349349158e-06,1.4583345653678065e-06,3381.94,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,0.0582418333065241,,,9.96315553441106e-10,0.0,,,1.4000000831407895,983919.1884976112,8.314078976547152e-10,1.4009802940488563,4738.031295655589,1.4238773135904423e-06,-3.386242134447343e-08,0.0101,0.0001
2024-12-20 20:34:00,1.4561000020666462e-06,1.4569861184554528e-06,3385.07,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,0.0,,,0.0,0.0,,,1.4000000831407895,983919.1884976112,8.314078976547152e-10,1.4009802940488563,4742.416363975962,1.4238773135904423e-06,-3.2222688476203845e-08,0.0101,0.0001
2024-12-20 20:35:00,1.4550303573851937e-06,1.456958727870944e-06,3385.82,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,0.0,,,0.0,0.0,,,1.4000000831407895,983919.1884976112,8.314078976547152e-10,1.4009802940488563,4743.467099196499,1.4238773135904423e-06,-3.115304379475136e-08,0.0101,0.0001
2024-12-20 20:36:00,1.4466912034253706e-06,1.4533359259455667e-06,3394.26,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,0.0,,,0.0,0.0,,,1.4000000831407895,983919.1884976112,8.314078976547152e-10,1.4009802940488563,4755.291372878271,1.4238773135904423e-06,-2.281388983492832e-08,0.0101,0.0001
2024-12-20 20:37:00,1.4409862984829105e-06,1.4464567529671283e-06,3409.02,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,0.0,5.251044028541292e-10,-3.034044696449999e-08,0.0,0.0,1.3784882136244657e-06,1.469266413556419e-06,1.4000000831407895,983919.1884976112,8.314078976547152e-10,1.4009802940488563,4775.969842018432,1.4238773135904423e-06,-1.710898489246821e-08,0.0101,0.0001
