block_number,timestamp,tx_hash,log_index,factory_contract_address,pool_contract_address,fee,token0_address,token0_symbol,token1_address,token1_symbol
21464269,2024-12-23 09:23:59,0xd19aaa7362ffe5a63875c4fddb15e587a57bec0f5bc4971803edd89ae41f0723,61,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xc4d934533e370b35778Faf0f755A3D3cB3a76CfD,3000,0x66f37DfAA00Db7fC2239b14E83F566D7bE84B838,CASINO,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21464389,2024-12-23 09:47:59,0xe0e337a2c4cbf363116cd52bfe4f17286b42d8eac36caeae21f287d4f8ec9448,17,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xb34759AFfABd38cfb87caac7dC2f609835a35046,3000,0x6068B2c3e9a9A30D417854482861F28118a5e12D,TOM3,0xd31695a1d35E489252CE57b129FD4b1B05E6AcaC,TKP
21464459,2024-12-23 10:01:59,0xe79dd2b43d9cc7d169828bf3f58fae8f8feb719769c1b366fc88934d41a014fe,66,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xA8712F484374E12A6EafCa66C15440e0440cf29e,3000,0xAEc613188B1E178d42a05d352044D54854C3196a,DESCI,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21464582,2024-12-23 10:26:59,0x08dcc52b742321d52dfeacd5ba2025d9378483529d91623133e80d990166b719,3,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x65C043B7bB2a7ACaCDDDE13de58935B44B6caA68,100,0xD79021d7E9358f2E5eeC291774a2E22eA904A87B,USDH,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21465373,2024-12-23 13:06:11,0x57e80431970fd2b2645c0ff6babe9d5713b4d276a2ba23a1706aec89addbf34a,18,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x08A5a1E2671839dADc25e2E20f9206FD33C88092,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xcb1592591996765Ec0eFc1f92599A19767ee5ffA,BIO
21465486,2024-12-23 13:28:59,0xef1ebf77c3be94747f9c5bc68622027102bd25c0b3eb391bc69a7d8ba4b5aa79,151,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x6dcba3657EE750A51A13A235B4Ed081317dA3066,500,0x97Ad75064b20fb2B2447feD4fa953bF7F007a706,beraSTONE,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21465636,2024-12-23 13:59:23,0x4afaf2c588c37767dc9052b83b3b79cecb8dfac6ac7e802aef0f113ff815e832,0,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x173A77805B59613a52D921234878aaD9AC8fAFE1,3000,0x04F121600c8C47A754636fc9d75661a9525e05D5,STARS,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21465845,2024-12-23 14:41:23,0x2f8dd01fe825b365637b6b7ee62296a4a67012c6bb906c4ba5d915ee0ddd4ab8,143,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x48589E48f73AFB525aFe2cBBD4C15557fA8b936E,3000,0x80822a450D57c548feF04d44F03F770712715551,SHIB Ultra,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21465890,2024-12-23 14:50:23,0x153300f1293bb1aad25ae3c7cec7e8a3b50e1cc7694180357e63aa554adf7021,0,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x6639816BC2572bbeF94eD4B29c988e3D1e6f86dd,100,0x80822a450D57c548feF04d44F03F770712715551,SHIB Ultra,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21466654,2024-12-23 17:24:11,0x28002651872be3c877fd97875bfbca41d05e76ec5b9786038ef5d580754c5b60,108,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xEBF745855f68c6D3F8E34Ac96D3Eb31fd350948C,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xFD4811a378D154d23A19B7EE5053081E4DB7237e,ABE
21468222,2024-12-23 22:40:23,0xb08c0311eff0a5d684f544c011218026ed01c584bf3a875bae95efa6f062d95e,195,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xa2Cbc42e0e4E88Fb520d15F443C4873B7c9c455f,3000,0x845F13AC2A6E514d2Ba5d60F7Cdb0547bbe175cD,ET,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21468602,2024-12-23 23:56:59,0xe0eb81413bd9e0ea99feedf58557e54bb52081bacc3c8f71271ed49468bba0de,204,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xcAFF798602dEd0b4c4af7372621CcfD15Ad56298,3000,0x8bb96795389237BbFb600601B9BbD3924A907207,NLT,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21468989,2024-12-24 01:15:47,0x806bfbccf0f6aede4becb97efec29f4aa13453c380ae9425926e12b173ed7ae2,636,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xe50eFB066AA98a56337992411201A032d83B3947,3000,0x0016bB8C1CF0C8B314b2FE9c6E1a537a7Ef7aaE3,KDOG,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC
21469503,2024-12-24 02:58:59,0xe64bb623964f18da85765d7fa49849d4f9ff73dd1938947bf60e0743eb5ad705,359,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x390A992E8140a729bB77d4aD876Ce16E5e12ad17,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xc575BD129848Ce06A460A19466c30E1D0328F52C,RAI
21469991,2024-12-24 04:37:23,0x67e3ce315ded4aea142c2e0527914e5a4eddd14c464b315fdc16798ece2280bb,0,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x9638CB07Bb37f7fbc83e10B0ad9006e7395404C4,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xe43626395f5d1102687F168819141e0Be34Bf3cC,MEME
21470373,2024-12-24 05:54:23,0xf8d1d0364478ea0d7c00b5e0133defd0d8e1471698d47c5481fc29759aad0121,174,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x083d337a86c98A195348892929DC1a979160ac74,100,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xeee626Aaa5242fB2bB97Bc05Bd9b3bCc2371DC45,BAIDEN
21471031,2024-12-24 08:06:35,0xa3ef6dfe634e6fdc7310a32f4ba5db45971c0f44f221448e8639265742666b94,237,0xbaceb8ec6b9355dfc0269c18bac9d6e2bdc29c4f,0x0d0C2a78D8Ff11271C84342Ad5c6688443018714,3000,0x7C4f5CD748248FB77A56E505ce2003a809866e44,G2U,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21471810,2024-12-24 10:44:11,0x1a23d88248414078b70613993a5afba2a866a370acad6e4e1487b553c0b3ebdd,114,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x635DB5C9d1eFCD4e1e6FC497926B22EBA4cBCE71,3000,0x10705DECf04eA1bd44E9dff9FD90252a07822020,CELON,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21472671,2024-12-24 13:37:23,0xf836960c9a6e9eeedc595a545c5a3384c4784f4454c613eddf7b1add6ee7f546,43,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xb5d3Ab92CeaA588A39C06ED1706d62a6a6EdDd66,100,0x5210Ba227531926cF5240fC9d7093e564c737431,SUSD,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21472699,2024-12-24 13:42:59,0xaafd8b1b35ad3a9aaaaf3e76b44818c4c49f7c4f7f4e153e8c298da64e8c7d13,274,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xb8f93900250Ff7AAB78FED88FD6f607e42869707,500,0x5210Ba227531926cF5240fC9d7093e564c737431,SUSD,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21472781,2024-12-24 13:59:47,0xb1faab689997dfa5b820912dd1c0d55f86680d5c76f7b01539dd7f3606ae9298,122,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xf06363bb92C22754d6f14588acAF8cE8cCE4d1A6,3000,0x53452EFEE3137abB2965C2CC6DFC3fc13b2030B3,GBTC,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21473349,2024-12-24 15:54:11,0x02fc5c16108cb732405a8d7b1b33ab2bdbd2c964cf34aa27df3db70d755096e8,375,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xD57AfE906be2C2408bD29A0d7942c947600936ee,10000,0x391cF4b21F557c935C7f670218Ef42C21bd8d686,XMW,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21474056,2024-12-24 18:16:11,0xc140e18ba2ef5d12fb58da9a72b8d6ee4eaec183bf2fdbad450cd2b9e7996473,163,0x0bfbcf9fa4f9c56b0f40a671ad40e0805a091865,0xbdBC355A2948Ad9d7D4A105611C68121f56fC707,2500,0x04Cd37283E0F921B4a8838Fee72e4264c87A692B,$STAR,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21474593,2024-12-24 20:04:11,0x24d9ad55144b8e009a891cddedd0f2530cefeea77424d710e7d01e9d08943605,16,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xcFD6296fdFd992bEe6717D4bd02722C7a7A6dBFF,100,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,0xecD291aBbA7fD9578f85Da4e2161db166D08d086,SHEQ
21474711,2024-12-24 20:27:47,0x8ba32e5f8782bbf10d08e1aa5cc21a30d52dbaf92858d6fa39ce977a46306c9a,280,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x59f612F5210082514D69E20443A56c86Bb836892,3000,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,LDO,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,MATIC
21474726,2024-12-24 20:30:47,0x29629b788557c84dbff0c8bc8586a53ab1f7b34eb9f47d3de371716d1269eb64,221,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xD06F8e36Fe4b5362D4c26200D0313d31c5060857,10000,0x65086e9928d297Ebae6A7d24D8c3Aea6f8f6b5d7,TOKI,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21475749,2024-12-24 23:56:59,0x8bd94f190d876b8d1e18af2a5e09b37b2eea2afb4a380bc863be9e3ba17f4c88,0,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x9B381298703fefd682321d03D6CFD95d5993F308,3000,0xC67C5A1a46f0a089091Bd96DB03f4FdbA80Af73e,TMC,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21475969,2024-12-25 00:41:23,0xfdd64123bb39cb71de985a49a9800f7f43bad6922e98c157ab81831e43a0e0d7,163,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xC9DA1bfD5C3A1297E289Bd13879e19B757Ae48Ed,100,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xE617dEf7A1DDc1A477A2FCb2dCC9eA3Cb31724D7,JAK
21476006,2024-12-25 00:48:59,0x7d82982aaf02d8c549014aa0f33494dd21fda2645924a79eb4d386bedbdc6c6e,15,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xcdB59007cb7cD9A59e785116aE0d43C5fBf83940,3000,0x54b8e6D5C6C0513090CAe6Ef7cE32b5837fD53Ec,RHEA,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC
21476647,2024-12-25 02:57:23,0x464e3ed4fc851cb0d8a58368e27110632d34666bfa8a4ec7e0e0b6c92cf2426a,160,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x7AbD783ACF1aBd81e8953C29A056e6B7950b7fbd,10000,0x68B36248477277865c64DFc78884Ef80577078F3,Hold,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
21476706,2024-12-25 03:09:11,0x0d664bce54a0afa3966561794a5d74a825c84cdebe3b642eed8352f8526e440f,318,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x9C3D708b0a04f9BF7b1b83995BB54B4A58E275aE,10000,0x39fBBABf11738317a448031930706cd3e612e1B9,WXRP,0xeDbD642a1d3FE098f0fc5479C3DbE0339dCb9FF9,M-Cn
21476856,2024-12-25 03:39:23,0x578ce70e802fa807d67a712b02c530e075bf3133c9156524697eead063a9e76a,117,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x1b56e1723a34be8853e847F9472E06f1f00A31E4,3000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,0xfffffCb8F4B0755F1574F3a6A5b5EAC8fcA4b516,VETH
21476932,2024-12-25 03:54:35,0xd49d6aff51b7d7cc751822ed6be9b1b8e24324696c50b3801ccd575920b16554,7,0x1f98431c8ad98523631ae4a59f267346ea31f984,0x9DF8f2c89E04C25B6c3636E718dd62d5D16230d9,3000,0x2B00F09C8958622a89A29Fb23fAA4e405Dfd9bB6,ASC,0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT
21477008,2024-12-25 04:09:47,0xe427476e0ddb4a232756dea546c11033786af361084c20d11fbec8df3a122045,49,0x1f98431c8ad98523631ae4a59f267346ea31f984,0xD4D64df43b791057c4D1EC21141A9759E57aE9c4,3000,0xB8fe3e0328D5a4F0c6BDdC6ad52481268bD27F9a,TOU,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH
