block_number,timestamp,tx_hash,log_index,pool_contract_address,amount0,amount1,sqrt_price_x96,liquidity,tick
21446445,2024-12-20 21:33:35,0x0b78c5a16c061081c2fc18949933c09615fcd410a4ecc79441985e355d7b0cd6,82,0x21edad4d801974a824404e4ed4b3bd95ab876b34,2152659607267966,-1.50375E+021,6.65517153841284E+031,1.35362764546983E+023,134674
21446477,2024-12-20 21:39:59,0x4679343884062090fc0a3eb24925d857f82d5aa76419b9d1db158ff578c4e6f8,369,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-2.64120963522205E+016,1.88277406027397E+022,6.65626251082632E+031,1.35362764546983E+023,134678
21446487,2024-12-20 21:41:59,0xd0c022883ace79af8f6296fbc957b225a225f7f7904a94dbf96b3ff837834e37,600,0x21edad4d801974a824404e4ed4b3bd95ab876b34,495625000000000,-3.46328946645534E+020,6.65624224010699E+031,1.35362764546983E+023,134678
21446488,2024-12-20 21:42:11,0x403ada5f2f7210ea3c48f518d27bfd54d39362ef0fb48b1081412a9afdb0dac5,192,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-2103883620604317,1.5E+021,6.65632915752607E+031,1.35362764546983E+023,134678
21446545,2024-12-20 21:53:35,0x549b7b64675878961abd6b61a68eb25d1c97f95664ca117e9b5c2db44adff147,62,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-7.0098027270262E+016,5E+022,6.65922640482859E+031,1.35362764546983E+023,134686
21446555,2024-12-20 21:55:35,0x635ff105f17bb61d90fa72c854ad3db35166b12c23224f6f0920e7d048cec25f,134,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.21669268768841E+016,2.29588179007E+022,6.66055675229323E+031,1.35362764546983E+023,134690
21446573,2024-12-20 21:59:11,0xe30c7e35214bf6b4897383ea85777102a7cdab155fdd1d622c63fea1f08c62bc,99,0x21edad4d801974a824404e4ed4b3bd95ab876b34,2E+017,-1.39763371309702E+023,6.65237636743427E+031,1.35362764546983E+023,134666
21446636,2024-12-20 22:11:47,0xf25d4a9317b851fb526cb1ce6fb23a4c4bd7fa3899b94e45b4478aac3fc9568d,575,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-1.12331216708125E+016,8E+021,6.65283992700268E+031,1.35362764546983E+023,134667
21446664,2024-12-20 22:17:35,0xfaa59523c0b6eca34e9b1967d2489b82776f44543b43303e7059072e5cc74054,96,0x21edad4d801974a824404e4ed4b3bd95ab876b34,892125000000000,-6.22749669328994E+020,6.65280347730975E+031,1.35362764546983E+023,134667
21446687,2024-12-20 22:22:11,0x7272282a73953de589dcfe042bfe88910d0c802fca7848b35762f54b2c05b089,332,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-1.29016122689839E+016,9.1895400002763E+021,6.6533359647093E+031,1.35362764546983E+023,134669
21446701,2024-12-20 22:24:59,0x11478b6b69ff376393e0c54b71875615c2e1050f47ffb3e2d9cf6b91261206d4,488,0x21edad4d801974a824404e4ed4b3bd95ab876b34,7E+016,-4.88501948876332E+022,6.6504767506615E+031,1.35362764546983E+023,134660
21446714,2024-12-20 22:27:35,0xcc56614ace5cb89b367341dbfd0e6d0c08b3dbccda3e117978d7fb78cc529a18,192,0x21edad4d801974a824404e4ed4b3bd95ab876b34,7E+016,-4.88082270186903E+022,6.64761999300351E+031,1.35362764546983E+023,134652
21446730,2024-12-20 22:30:47,0x42b290400540436f47b06087dc4c16031316403a6498a0cf19ae45e6e28ad70b,32,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-1.45178852720069E+017,1.03331411772765E+023,6.653607526084E+031,1.35362764546983E+023,134670
21446739,2024-12-20 22:32:35,0x8070361df32a0130ff0a0ff9f3dbd5a9107c6916a5e4f20cf5ebfa3cfc76661b,165,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-2.48281795121085E+017,1.77147228167E+023,6.66387231266312E+031,1.35362764546983E+023,134700
21446771,2024-12-20 22:39:11,0x288d5ae19ded60bf5030961529dc8df065de4a305474b3104822eef5b41df3b0,254,0x21edad4d801974a824404e4ed4b3bd95ab876b34,1.42412355876378E+016,-9.97330238790537E+021,6.66328857279563E+031,1.35362764546983E+023,134699
21446774,2024-12-20 22:39:47,0x4c365da7e15841af7da52cb8a3acdede34e591a6734df33d926ea7291f6b35cf,274,0x21edad4d801974a824404e4ed4b3bd95ab876b34,9.9125E+015,-6.94080738882876E+021,6.66288232561412E+031,1.35362764546983E+023,134697
21446780,2024-12-20 22:40:59,0x19913760850b0402637f4c815be874a3c0ba7de53fb8b4b716cabc90435567f5,184,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-5.363914726833E+017,3.84469130958904E+023,6.68516036866559E+031,1.35362764546983E+023,134764
21446816,2024-12-20 22:48:11,0xd616e95ebc4f28c2f890a7cb74b4623a86940488762f247c730d6a6391ee972c,234,0x21edad4d801974a824404e4ed4b3bd95ab876b34,4.45022412225982E+017,-3.12817107819343E+023,6.66685110559868E+031,1.35362764546983E+023,134709
21446847,2024-12-20 22:54:23,0xf9800bb884317f95c30d3caacc709f3ebefb1afc9f99ccf9fa4c8052fbde0d8c,373,0x21edad4d801974a824404e4ed4b3bd95ab876b34,2.75274066724326E+017,-1.92640552997414E+023,6.65557580615367E+031,1.35362764546983E+023,134676
21446900,2024-12-20 23:04:59,0x43676e11646370db57fff44e578c1c9011905e4fe37d1dcdfe6e03691bd4b2ea,46,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-2.80528813130693E+016,2E+022,6.65673470507468E+031,1.35362764546983E+023,134679
21446927,2024-12-20 23:10:23,0xe6dc4c03bc5a37cb07c0c5a58acb41263a5215115c99480491c7180a10bbe1f0,80,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-1.07135447117439E+016,7.6399445E+021,6.65717740124656E+031,1.35362764546983E+023,134680
21446955,2024-12-20 23:15:59,0x9c4a861201773012d1fe62b16fcdb27479b2ac2e1de4c22c66600d1500a41dc1,151,0x21edad4d801974a824404e4ed4b3bd95ab876b34,1.9825E+016,-1.38553204916977E+022,6.65636644589464E+031,1.35362764546983E+023,134678
21447046,2024-12-20 23:34:11,0x6de0f2c64865ad3598831719f4830e1e1b68dc9ce4b4be3fbc679da68146775a,180,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-4.97228910993973E+017,3.55613974619716E+023,6.67697247846876E+031,1.35362764546983E+023,134740
21447092,2024-12-20 23:43:23,0x357755640337c67755a44cc8e81c357e709e5a13718f81ae912ca0902d57f7fd,374,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-5.06771166704137E+016,3.63675255970604E+022,6.67907979277746E+031,1.35362764546983E+023,134746
21447165,2024-12-20 23:57:59,0x92750e533c7d6064c98d8b0c836a7177b1a984d330172dcdaa53d19ff95d1c20,57,0x21edad4d801974a824404e4ed4b3bd95ab876b34,2.18622925133244E+016,-1.53796501185844E+022,6.67817961803363E+031,1.35362764546983E+023,134743
21447170,2024-12-20 23:58:59,0x982251a4c3643896cb705b87eb72fbbcad4a88fcfcc3bb422c14e1e9639bd235,357,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-3.48276348719127E+016,2.5E+022,6.67962824168489E+031,1.35362764546983E+023,134748
21447234,2024-12-21 00:11:59,0x8bd2fe1cd0410be30e4ef98dcec3d01823dbd80aa89ca8cd68a0589cf1e10b6d,86,0x21edad4d801974a824404e4ed4b3bd95ab876b34,1.44676955051708E+017,-1.0171680610246E+023,6.67367473174345E+031,1.35362764546983E+023,134730
21447256,2024-12-21 00:16:23,0x092b46ddfcaa7d7d09cfd3c7e8cb324a76518daf1627af8acff109f492040e1d,213,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-1.19844910898788E+017,8.59566164059538E+022,6.67865548324377E+031,1.35362764546983E+023,134745
21447313,2024-12-21 00:27:59,0x22db01aa9a38694278835944c2a025ecb0b3e32a3e3b9f4efda5402a8a4244d9,275,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-2.77464939793285E+017,1.995E+023,6.69021549998083E+031,1.35362764546983E+023,134779
21447373,2024-12-21 00:39:59,0x76f111f24c48839d2998ae575b090f9ff5c58dc1d6994b0e2549f1282c8c95e4,418,0x21edad4d801974a824404e4ed4b3bd95ab876b34,-6.39213042844617E+016,4.60579593487663E+022,6.69288432595049E+031,1.35362764546983E+023,134787
