block_number,timestamp,tx_hash,log_index,pool_contract_address,tick_lower,tick_upper,amount,amount0,amount1
21446276,2024-12-20 20:59:47,0x1ec008236ad27e983d91f9838ecfa0ac3da688ad1f87491e072fde1a93821cb1,174,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,76200,78400,349267467495893830101,64075269720687782,1671999999999999995472
21446277,2024-12-20 20:59:59,0xa65016aebfbe9ca8e5f568253eb381dd9f35e4b13b03200fc48f395271f33ad7,497,0xe936f0073549ad8b1fa53583600d629ba9375161,-62600,-60200,3603027528503921272188,5566567732858002525304,7513448281595874853
21446280,2024-12-20 21:00:35,0x5ccb513ffa40672e060bb720d63f3a943fd9ab4fa94d55d9bef9dfc3dcb3f350,275,0x14154c15fc0fd3f91de557a1b6fdd2059972cd0b,78200,79000,1564366069660644010663,1206056391055084254,58288072228028491121
21446281,2024-12-20 21:00:47,0xb0df799ac8469292c233efcc3d6b0ae2b8e06424bf971adfe5118ee042e3f053,164,0xe8f7c89c5efa061e340f2d2f206ec78fd8f7e124,-23,-20,3174800608683,299082903,177227396
21446290,2024-12-20 21:02:35,0x45f696dcbc8cd19f31ef6348e5680035d07561d420ff02137fc7c57c10c83734,396,0x7b1e5d984a43ee732de195628d20d05cfabc3cc7,75660,79620,398635825424515071498,1629603813659179498,0
21446292,2024-12-20 21:02:59,0x8ab5dd6a1ccb146d01b6149eb33e4333b99f2f1fec2ec370d9abcef9d8cd90ae,597,0x9da4acd7d87e7396901d92671173296bf9845c53,-72000,-71800,8353073498965842449105236524,0,2294118225435811981010694
21446294,2024-12-20 21:03:23,0x79c5d9a6fad7e8287313dc5a903635353f12239313b4eec998ebc5e41d7cbc1d,182,0x7b1e5d984a43ee732de195628d20d05cfabc3cc7,75660,77460,1965574649704505415384,3850000000000000000,0
21446295,2024-12-20 21:03:35,0xc68b0a122eb9b59c25e0124b2ac517d4bb0a82b9997289d39c34f65226130999,9,0x6a68dc44a6d446734fe0a4e5ec7bb37f1862279f,-219400,-219200,5545200579927246752448512,1950424657184233615149884261,373176754218629373
21446298,2024-12-20 21:04:11,0x5e27f4a6e42a874a1cc42a8ef71ca9aab5774aac9e011a074d202d63b231a0b6,163,0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,-25680,-21180,33608712177842279827,12147844788792155000,1050000000000000000
21446299,2024-12-20 21:04:23,0x5e4420afc8de7c6a4ea01624507a7ebb62fb69c3431949f8b67ec465b6d80a88,143,0xc8219b876753a85025156b22176c2edea17aac53,-71400,-71340,197366409847230026481664,7352654295425476343003,10838398961519425296
21446311,2024-12-20 21:06:47,0xcc21d3569cd68fcdc8eac62e72b4a62b5dfbf8bf36e9d602e08d038cb56b944f,15,0x5a334dec0dfca57a57d593759461987f13c621aa,-163800,-117000,25810682066842049314862,80839408515534321527843505,255508100299181197
21446311,2024-12-20 21:06:47,0x2e94641257e854542d1fef8e28e1590cd2a627063b8cf0df7a89908c441bce03,29,0x9f178e86e42ddf2379cb3d2acf9ed67a1ed2550a,-8460,-2100,67324597241431693360,13916201073080167822,7000000000000000000
21446312,2024-12-20 21:06:59,0x5df8e49b7a038fbe0dc5b0355520622ad1a26c1bd22c892e7962a91ac0cd3605,6,0x127452f3f9cdc0389b0bf59ce6131aa3bd763598,-180480,-178320,15653183640139102,0,215173613357
21446313,2024-12-20 21:07:11,0x66c1bb60c33a967d57ef34c11b2e06cd5dc02d054396d4cfb978fa232d7c0165,95,0x4261a2fc11abd29697513f197fccf09fb45ec346,-43260,-29400,8142342091420187737,23147636844448350482,195867211527195518
21446326,2024-12-20 21:09:47,0x12d5d3532cfeb4fef89bd65b6ca1e7729d881e33833323c60bb8aae4534fdfb7,207,0x331399c614ca67dee86733e5a2fba40dbb16827c,-244000,-241200,104446735939761051160338,0,79000000000000000
21446326,2024-12-20 21:09:47,0x3753fe2d8f54113a38b8b76673c0828dcff507599fdce397773f9ae8a937be3e,400,0x88ada7b1dd1c728ea87404cea7a0780139eb35d1,-88740,-86580,6435738812355947271483,55671000000000000000000,0
21446332,2024-12-20 21:10:59,0x22b08b3b59d2fcfc56e588b8d71e730d03ff1c60b023219e62af645a56952c81,59,0x2a0330c7e979a4d18e5b0c987b877da24dd37d04,-82800,-81600,28433114773873361332197,0,28000000000000000000
21446333,2024-12-20 21:11:11,0xa8c7e74ccc6f80a3f99ec4dbd6bfd586c6e01ef2f554a68925a8462c656420fd,70,0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,-63720,-48360,4940186162422727032,23999999999999999810,102978189830841238
21446334,2024-12-20 21:11:23,0x43e533b76dae9ea31c708aa522f01fcb70ab5fe2c5b4cc849c2ea862f6055d73,218,0x744159757cac173a7a3ecf5e97adb10d1a725377,-79620,-73620,200820975162035290193,2234351781455739149814,203327886424705789
21446343,2024-12-20 21:13:11,0x5300a82d2d81d9fa1303b4f14226f7aa9562fd0cbdeeb93b7bdcab29614ce5b7,273,0xe092769bc1fa5262d4f48353f90890dcc339bf80,-26400,-22400,6179441056876797758,2685214729579478188,115091003863087557
21446344,2024-12-20 21:13:23,0xecb222eef836cdf879706970041ed906a1f6c1bfdaa3544e78518844af9555f6,165,0x975b2383190bbe232918bbc0df75dfe884c3b370,-887200,887200,55725811431,105061,29557743212561441
