timestamp,open,high,low,close,volume
2024-12-20 20:28:00,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,0.0001486875
2024-12-20 20:29:00,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,0.0
2024-12-20 20:30:00,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,0.0
2024-12-20 20:31:00,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,0.0
2024-12-20 20:32:00,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,1.4228809980370012e-06,0.0
2024-12-20 20:33:00,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,0.0582418333065241
2024-12-20 20:34:00,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,0.0
2024-12-20 20:35:00,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,0.0
2024-12-20 20:36:00,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,0.0
2024-12-20 20:37:00,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,0.0
2024-12-20 20:38:00,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,1.4238773135904423e-06,0.0
2024-12-20 20:39:00,1.4196122956225704e-06,1.4196122956225704e-06,1.4196122956225704e-06,1.4196122956225704e-06,0.243909939305928
2024-12-20 20:40:00,1.4196122956225704e-06,1.4196122956225704e-06,1.4196122956225704e-06,1.4196122956225704e-06,0.0
2024-12-20 20:41:00,1.4204642759701825e-06,1.4204642759701825e-06,1.4204642759701825e-06,1.4204642759701825e-06,0.05
2024-12-20 20:42:00,1.4204642759701825e-06,1.4204642759701825e-06,1.4204642759701825e-06,1.4204642759701825e-06,0.0
2024-12-20 20:43:00,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,0.0124155777910552
2024-12-20 20:44:00,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,0.0
2024-12-20 20:45:00,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,0.0
2024-12-20 20:46:00,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,0.0
2024-12-20 20:47:00,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,0.0
2024-12-20 20:48:00,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,0.0
2024-12-20 20:49:00,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,0.0
2024-12-20 20:50:00,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,0.0
2024-12-20 20:51:00,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,0.0
2024-12-20 20:52:00,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,1.4206063223977797e-06,0.0
